"ID","category"
1,"Retail & Consumer Products"
2,"Government & Defence"
3,"Trades & Services"
4,"Manufacturing, Transport & Logistics"
5,"Sales"
6,"Community Services & Development"
7,"Healthcare & Medical"
8,"Information & Communication Technology"
9,"Mining, Resources & Energy"
10,"Construction"
11,"Design & Architecture"
12,"Call Centre & Customer Service"
13,"Marketing & Communications"
14,"Administration & Office Support"
15,"Banking & Financial Services"
16,"Engineering"
17,"Education & Training"
18,"Accounting"
19,"Human Resources & Recruitment"
20,"Real Estate & Property"
21,"Sport & Recreation"
22,"Legal"
23,"Hospitality & Tourism"
24,"Consulting & Strategy"
25,"Farming, Animals & Conservation"
26,"Advertising, Arts & Media"
27,"Insurance & Superannuation"
28,"Self Employment"
29,"CEO & General Management"
30,"Science & Technology"
31,"Motoring Automotive"
32,"Other"
33,"Security Safety"
34,"Apprenticeships"
35,"Training"
36,"Graduate Training Internships"
