ID,FK category,FK company name,FK job type,FK location,FK time,FK job title,count
1,4,10194,1,1444,1,12513,1
2,17,12279,1,350,22,9887,1
3,22,9077,1,2661,92,16021,1
4,6,10733,1,702,110,3635,1
5,6,9559,3,2065,113,3446,1
6,24,10437,1,1696,120,11038,1
7,18,10656,1,1696,126,3608,1
8,6,10723,1,2868,126,16847,1
9,7,10733,1,2208,126,16882,1
10,6,10723,1,2747,126,16847,1
11,6,10723,1,2681,126,16847,1
12,7,10733,1,1326,126,16974,1
13,7,10733,1,868,126,16974,1
14,7,10733,1,2689,126,3847,1
15,7,10733,1,1098,126,3847,1
16,7,10733,1,2208,126,3847,1
17,7,10733,1,2097,126,3847,1
18,7,10733,1,868,126,3847,1
19,7,10733,1,1670,126,3847,1
20,6,10723,1,724,126,3497,1
21,6,10723,1,2681,126,3497,1
22,14,9595,1,1352,127,18935,1
23,14,9595,1,1352,127,18956,1
24,6,10733,1,417,128,3491,1
25,6,10733,1,1916,128,3635,1
26,7,10733,1,2744,128,3491,1
27,17,12279,1,1696,131,9843,1
28,18,11372,1,922,132,8322,1
29,4,10785,1,1829,132,18546,1
30,24,10437,1,260,133,11038,1
31,6,10733,1,2929,134,3635,1
32,6,9142,1,2742,138,3863,1
33,19,10785,1,2897,139,6266,1
34,17,12279,1,1735,139,20836,1
35,17,12279,1,1696,140,9846,1
36,24,11035,1,350,140,11450,1
37,13,9630,1,676,141,3416,1
38,6,10723,1,1603,142,3774,1
39,24,9518,1,2026,142,21883,1
40,12,9416,1,2517,145,762,1
41,6,10723,2,1603,147,16777,1
42,17,12279,1,2554,147,10075,1
43,24,10437,1,1968,148,3052,1
44,18,9550,1,534,149,4701,1
45,23,14155,1,2943,149,2450,1
46,19,11587,1,1917,152,6724,1
47,23,9316,1,830,152,11920,1
48,20,12992,1,1080,152,13603,1
49,26,13039,1,2065,152,13609,1
50,20,9605,1,1498,152,12661,1
51,20,9536,1,194,152,13666,1
52,20,9299,1,1645,152,12761,1
53,4,9103,1,1842,152,14633,1
54,20,13025,1,2114,152,988,1
55,20,9747,1,2713,152,15092,1
56,1,11710,1,742,152,378,1
57,12,12795,1,2167,152,725,1
58,12,11314,1,2337,152,4511,1
59,15,13468,1,1438,152,3499,1
60,19,10352,1,2541,152,4636,1
61,1,14191,1,1965,152,22119,1
62,24,11035,1,350,152,22489,1
63,19,9324,1,742,153,138,1
64,19,9477,1,742,153,609,1
65,19,9650,1,1696,153,890,1
66,19,9167,1,1696,153,1110,1
67,19,9840,1,555,153,63,1
68,4,9865,1,2001,153,1379,1
69,19,9909,1,821,153,1489,1
70,19,10037,1,1526,153,63,1
71,19,9692,1,1696,153,2136,1
72,19,10085,1,2167,153,63,1
73,15,11216,1,1208,153,5615,1
74,12,9408,1,1781,153,2926,1
75,19,11421,1,429,153,5845,1
76,19,11421,1,742,153,5845,1
77,19,11421,1,534,153,5845,1
78,19,11421,1,555,153,5845,1
79,19,11421,1,651,153,5845,1
80,23,12820,1,1965,153,6905,1
81,23,12847,1,1120,153,12551,1
82,20,12966,1,946,153,13152,1
83,20,12966,1,642,153,13422,1
84,20,13012,1,1139,153,13463,1
85,20,13020,1,1957,153,146,1
86,20,13065,1,551,153,13469,1
87,20,13124,1,1632,153,14134,1
88,4,9865,1,2001,153,14595,1
89,4,9865,1,2001,153,1379,1
90,20,10788,1,676,153,13766,1
91,20,12500,1,950,153,1325,1
92,12,10353,1,2604,153,3190,1
93,12,10728,3,657,153,16135,1
94,12,10728,3,2564,153,16354,1
95,15,10836,1,2722,153,16486,1
96,15,11216,1,1696,153,16559,1
97,7,10733,1,701,153,3847,1
98,18,11289,1,622,153,17513,1
99,18,10656,1,676,153,18614,1
100,18,10728,1,1982,153,4003,1
101,18,13772,1,2529,153,18747,1
102,14,9728,2,1042,153,18999,1
103,14,9728,1,1042,153,8259,1
104,16,9317,1,2592,153,1041,1
105,33,14073,1,2379,153,21269,1
106,33,9695,3,1450,153,10185,1
107,32,14078,1,2397,153,2040,1
108,33,9695,3,1764,153,10248,1
109,32,14078,1,2397,153,21320,1
110,33,9695,3,1764,153,10248,1
111,32,14078,1,2397,153,3052,1
112,33,9695,3,2963,153,10185,1
113,33,12439,1,2308,153,10395,1
114,9,9871,1,519,153,8588,1
115,19,9747,3,2713,154,476,1
116,19,9601,3,1371,154,1242,1
117,19,9747,3,1696,154,1367,1
118,19,9378,1,741,154,1634,1
119,31,9227,1,2302,154,9,1
120,23,9245,1,676,154,224,1
121,19,9140,1,943,154,2467,1
122,19,10297,1,742,154,2609,1
123,19,10342,3,1696,154,63,1
124,19,10346,1,429,154,1287,1
125,19,10359,1,2065,154,2814,1
126,15,10836,1,636,154,4078,1
127,15,10924,1,2302,154,4610,1
128,15,10836,1,703,154,3902,1
129,6,11201,1,568,154,3691,1
130,18,10656,1,742,154,5353,1
131,6,10983,3,2411,154,3635,1
